DATE,TXS,FEE_PAYERS,DEX
2023-09-22T00:00:00.000Z,61,1,Aldrin
2023-09-22T00:00:00.000Z,4757,3163,Stepn
2023-09-22T00:00:00.000Z,260876,72,Openbook
2023-09-22T00:00:00.000Z,32413,1138,Raydium
2023-09-22T00:00:00.000Z,113,36,Serum
2023-09-22T00:00:00.000Z,119,3,Saber
2023-08-06T00:00:00.000Z,134,7,Saber
2023-08-06T00:00:00.000Z,35176,1089,Orca
2023-08-06T00:00:00.000Z,3,2,Mercurial
2023-08-06T00:00:00.000Z,173,2,Lifinity
2023-08-06T00:00:00.000Z,116,2,Aldrin
2023-08-06T00:00:00.000Z,87,4,Step Finance
2023-08-06T00:00:00.000Z,5401,3688,Stepn
2023-08-06T00:00:00.000Z,221930,118,Openbook
2023-08-06T00:00:00.000Z,27,1,Invariant
2023-08-06T00:00:00.000Z,1016933,6481,Jupiter Aggregator
2023-08-06T00:00:00.000Z,29549,1575,Raydium
2023-08-06T00:00:00.000Z,104,32,Serum
2023-02-01,22549,1448,Orca
2023-02-01,183,4,Lifinity
2023-02-01,199,86,Serum
2023-02-01,122,2,Step Finance
2023-02-01,81531,1,GooseFX
2023-02-01,3114,37,Aldrin
2023-02-01,27,17,Mercurial
2023-02-01,11984,7748,Stepn
2023-02-01,10,4,Invariant
2023-02-01,227298,13845,Jupiter Aggregator
2023-02-01,70070,3535,Raydium
2023-02-01,1217460,323,Openbook
2023-02-01,55,24,Saber
2023-04-02,705,5,Step Finance
2023-04-02,993544,7938,Jupiter Aggregator
2023-04-02,221,6,Saber
2023-04-02,83775,2,GooseFX
2023-04-02,21,11,Mercurial
2023-04-02,2058,5,Lifinity
2023-04-02,1952,30,Aldrin
2023-04-02,12765,741,Orca
2023-04-02,317,50,Serum
2023-04-02,38368,1197,Raydium
2023-04-02,9639,6325,Stepn
2023-04-02,2853010,157,Openbook
2023-05-12,1888,18,Aldrin
2023-05-12,216,4,Saber
2023-05-12,17,10,Mercurial
2023-05-12,201,3,Step Finance
2023-05-12,3,2,Invariant
2023-05-12,2751047,2371,Orca
2023-05-12,7426,4873,Stepn
2023-05-12,1059156,4089,Raydium
2023-05-12,265,46,Serum
2023-05-12,2030492,204,Openbook
2023-05-12,1859,4,Lifinity
2023-05-12,224,1,GooseFX
2023-05-12,4151566,15177,Jupiter Aggregator
2023-05-12,3,1,Mango Markets
2022-11-12,3,2,Invariant
2022-11-12,5297,85,Aldrin
2022-11-12,17516,11811,Stepn
2022-11-12,1589,38,Saber
2022-11-12,97,9,Step Finance
2022-11-12,338,32,Mango Markets
2022-11-12,14193,1296,Orca
2022-11-12,4,1,Openbook
2022-11-12,50,30,Mercurial
2022-11-12,80704,1,GooseFX
2022-11-12,33840,2093,Raydium
2022-11-12,13,4,Cykura
2022-11-12,362661,8674,Jupiter Aggregator
2022-11-12,684539,1120,Serum
2022-11-12,2532,5,Lifinity
2023-09-23T00:00:00.000Z,18,1,Aldrin
2023-09-23T00:00:00.000Z,4921,3278,Stepn
2023-09-23T00:00:00.000Z,116,23,Serum
2023-09-23T00:00:00.000Z,19036,867,Raydium
2023-09-23T00:00:00.000Z,248811,63,Openbook
2023-09-23T00:00:00.000Z,153313,1780,Orca
2023-09-23T00:00:00.000Z,5,4,Mercurial
2023-09-23T00:00:00.000Z,2360,3,Invariant
2023-09-23T00:00:00.000Z,65,3,Step Finance
2023-09-23T00:00:00.000Z,1524,3,Lifinity
2023-09-23T00:00:00.000Z,455887,4766,Jupiter Aggregator
2023-09-23T00:00:00.000Z,73,6,Saber
2023-01-17,304715,20986,Jupiter Aggregator
2023-01-17,31,19,Mercurial
2023-01-17,5,1,Cykura
2023-01-17,87,16,Saber
2023-01-17,93163,8643,Raydium
2023-01-17,542248,403,Openbook
2023-01-17,10823,7307,Stepn
2023-01-17,86,5,Lifinity
2023-01-17,83159,3,GooseFX
2023-01-17,3482,73,Aldrin
2023-01-17,18141,1578,Orca
2023-01-17,118,5,Step Finance
2023-01-17,1045,172,Serum
2023-04-29,953866,116,Openbook
2023-04-29,7970,5263,Stepn
2023-04-29,1545,4,Step Finance
2023-04-29,84374,2,GooseFX
2023-04-29,1749,16,Aldrin
2023-04-29,1,1,Cykura
2023-04-29,153,53,Serum
2023-04-29,14765,1655,Orca
2023-04-29,2148,5,Lifinity
2023-04-29,13,6,Mercurial
2023-04-29,200,7,Saber
2023-04-29,1031557,12363,Jupiter Aggregator
2023-04-29,16010,1253,Raydium
2023-04-29,3,1,Invariant
2023-09-09T00:00:00.000Z,4451,3087,Stepn
2023-09-09T00:00:00.000Z,1401,1,Invariant
2023-09-09T00:00:00.000Z,141,10,Saber
2023-09-09T00:00:00.000Z,99,3,Step Finance
2023-09-09T00:00:00.000Z,1,1,Mercurial
2023-09-09T00:00:00.000Z,225724,51,Openbook
2023-09-09T00:00:00.000Z,154645,4307,Jupiter Aggregator
2023-09-09T00:00:00.000Z,43,11,Serum
2023-09-09T00:00:00.000Z,145717,1493,Orca
2023-09-09T00:00:00.000Z,218,1,Aldrin
2023-09-09T00:00:00.000Z,1551,3,Lifinity
2023-09-09T00:00:00.000Z,25348,916,Raydium
2022-10-06,4652181,565,Serum
2022-10-06,3775461,406,Mango Markets
2022-10-06,59363,2119,Raydium
2022-10-06,4,4,Crema
2022-10-06,123,36,Saber
2022-10-06,129,2,Invariant
2022-10-06,141,5,Step Finance
2022-10-06,61820,8951,Jupiter Aggregator
2022-10-06,9178,1206,Orca
2022-10-06,28086,16495,Stepn
2022-10-06,84003,2,GooseFX
2022-10-06,449,12,Lifinity
2022-10-06,4638,82,Aldrin
2022-10-06,8,6,Cykura
2022-10-06,116,37,Mercurial
2023-08-26T00:00:00.000Z,770356,5274,Jupiter Aggregator
2023-08-26T00:00:00.000Z,43,12,Saber
2023-08-26T00:00:00.000Z,1524,3,Lifinity
2023-08-26T00:00:00.000Z,7,2,Invariant
2023-08-26T00:00:00.000Z,1,1,Mango Markets
