Program1,Program2,Name1,Name2,weight,Timedelta
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,ArAA6CZC123yMJLUe4uisBEgvfuw2WEvex9iFmFCYiXv,Chainlink Program,ArAA6CZC123yMJLUe4uisBEgvfuw2WEvex9iFmFCYiXv,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,formn3hJtt8gvVKxpCfzCJGuoz6CNUFcULFZW18iTpC,Chainlink Program,formn3hJtt8gvVKxpCfzCJGuoz6CNUFcULFZW18iTpC,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,Chainlink Program,Orca: Orca Whirlpool Program,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,gateVwTnKyFrE8nxUUgfzoZTPKgJQZUbLsEidpG4Dp2,Chainlink Program,gateVwTnKyFrE8nxUUgfzoZTPKgJQZUbLsEidpG4Dp2,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,6UeJYTLU1adaoHWeApWsoj1xNEDbWA2RhM2DLc8CrDDi,Chainlink Program,Apricot: Apricot Finance Program,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,Port7uDYB3wk6GJAw4KT1WpTeMtSu9bTcChBHkX2LfR,Chainlink Program,Port Finance: Port Finance V1.0,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,CMZYPASGWeTz7RNGHaRJfCq2XQ5pYK6nDvVQxzkH51zb,Chainlink Program,CMZYPASGWeTz7RNGHaRJfCq2XQ5pYK6nDvVQxzkH51zb,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,Guard1JwRhJkVH6XZhzoYxeBVQe872VH6QggF4BWmS9g,Chainlink Program,Guard1JwRhJkVH6XZhzoYxeBVQe872VH6QggF4BWmS9g,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,CrAFTUv7zKXBaS5471aCwHx7mq9Jp1eQQB5FQgdiSLyi,Chainlink Program,CrAFTUv7zKXBaS5471aCwHx7mq9Jp1eQQB5FQgdiSLyi,0.0,7d
cjg3oHmg9uuPsP8D6g29NWvhySJkdYdAo9D25PRbKXJ,6NcdQ5WTnrPoMLbP4kvpLYa4YSwKqkNHRRE8XVf5hmv9,Chainlink Program,6NcdQ5WTnrPoMLbP4kvpLYa4YSwKqkNHRRE8XVf5hmv9,0.0,7d
