blockchain,creator,address,label_type,label_subtype,label,address_name,__row_index
solana,flipside,27haf8L6oxUeXrHrgEgsexjSY5hbVUWEmvv9Nyxg8vQv,dex,pool,raydium,raydium liquidity pool v3,60
solana,flipside,A7kmu2kUcnQwAVn8B4znQmGJeUrsJ1WEhYVMtmiBLkEr,dapp,governance,realms,solend dao,61
solana,flipside,A7p8451ktDCHq5yYaHczeLMYsjRsAkzc3hCXcSrwYHU7,nft,marketplace,digitaleyes,digitaleyes nft marketplace,62
solana,flipside,HZaWndaNWHFDd9Dhk5pqUUtsmoBCqzb1MLu3NAh1VX6B,nft,marketplace,alphaart,alphaart,63
solana,flipside,GqTPL6qRf5aUuqscLh8Rg2HTxPUXfhhAXDptTLhp1t2J,dapp,governance,realms,mango dao,64
solana,flipside,6UeJYTLU1adaoHWeApWsoj1xNEDbWA2RhM2DLc8CrDDi,defi,general_contract,apricot,apricot finance program,65
solana,flipside,CNBLwonD8EHup87p1SK9dypdj4WasTioWzFZWZVP9vbB,dapp,token_contract,coinable,coinables program id,66
solana,flipside,FLEET1qqzpexyaDpqb2DGsSzE2sDCizewCg9WjrA6DBW,dapp,token_contract,star atlas,star atlas fleet program,67
solana,flipside,5fNfvyp5czQVX77yoACa3JJVEhdRaWjPuazuWgjhTqEH,dex,general_contract,mango markets,mango markets v2,68
solana,flipside,EewxydAPCCVuNEyrVN68PuSYdQ7wKn27V9Gjeoi8dy3S,defi,general_contract,lifinity,lifinity program,69
solana,flipside,AVoAYTs36yB5izAaBkxRG67wL1AMwG3vo41hKtUSb8is,dapp,governance,realms,serum,70
solana,flipside,AFX6h67CCoqcJcoFbq12dabMLDruQ38U2nogpeU7ECLa,defi,general_contract,amulet,amulets solstakingprogram,71
solana,flipside,Ghope52FuF6HU3AAhJuAAyS2fiqbVhkAotb7YprL5tdS,dapp,governance,realms,realms general contract 2,72
solana,flipside,MarBmsSgKXdrN1egZf5sqe1TMai9K1rChYNDJgjq7aD,defi,general_contract,marinade finance,Marinade Finance,73
solana,flipside,Memo1UhkJRfHyvLMcVucJwxXeuD728EqVDDwQDxFMNo,chadmin,general_contract,solana,memo program,74
